CellId,CellLabel,XPosPixel,YPosPixel,ZPosPixel,XPosMicron,YPosMicron,ZPosMicron,CellAreaMicron2,jagged1b,lfng,dla,ccnd1,notch1a,hey1,pcna,her4,id1,notch3,ascl1a,Feat_regions,Cyto12_MeanIntensity,Cyto12_StdIntensity,Cyto12_MedianIntensity,Cyto12_MeanNormalisedIntensity,Cyto12_StdNormalisedIntensity,Cyto12_MedianNormalisedIntensity,Cyto12_SumIntensity,Cyto12_SumNormalizedIntensity,Cyto13_MeanIntensity,Cyto13_StdIntensity,Cyto13_MedianIntensity,Cyto13_MeanNormalisedIntensity,Cyto13_StdNormalisedIntensity,Cyto13_MedianNormalisedIntensity,Cyto13_SumIntensity,Cyto13_SumNormalizedIntensity,CellAreaInMicron2,Gs,Mcm2
2,2,2274.962109,694.0609555,23,470.9171565,143.6706178,9.2,26.009343,7,2,23,8,3,6,3,14,4,10,2,2,1266.412685,1224.748871,850,inf,inf,inf,3074850,nan,979.9217463,1195.145013,755.5,158051.8946,192765.3247,121854.8387,2379250,383750000,26.009343,neg,neg
3,3,2253.406068,715.0274314,23,466.4550561,148.0106783,9.2,103.094694,4,4,0,6,6,10,7,31,20,17,6,2,2363.399626,1500.24926,2014,inf,inf,inf,22745358,nan,765.5183915,837.1512296,521,123470.7083,135024.3919,84032.25806,7367349,1188282097,103.094694,low,neg
4,4,2209.15024,754.0342346,23,457.2940997,156.0850866,9.2,196.505514,8,4,5,5,7,9,2,16,21,18,5,2,4106.737026,2670.929791,3436.5,inf,inf,inf,75333984,inf,571.2033908,606.0442023,396,92129.57915,97749.06489,63870.96774,10478155,1690025000,196.505514,high,neg
5,5,2195.62253,793.7470356,23,454.4938636,164.3056364,9.2,21.681594,0,6,11,21,2,2,0,0,0,3,3,2,365.8858696,612.7330736,164.5,inf,inf,inf,740553,nan,786.1749012,1893.357629,383,126802.4034,305380.2628,61774.19355,1591218,256648064.5,21.681594,neg,neg
6,6,2148.73847,792.0522527,23,444.7888632,163.9548163,9.2,160.726599,7,5,3,1,7,17,6,16,18,16,13,2,5360.7498,3206.018809,5182,inf,inf,inf,80432690,nan,746.4146894,1470.232938,488,120389.466,237134.3448,78709.67742,11199206,1806323548,160.726599,high,neg
7,7,2240.757686,818.2370758,23,463.836841,169.3750747,9.2,188.149959,5,5,4,2,6,25,5,39,23,18,2,2,5246.204395,3332.311469,5112,inf,inf,inf,92144334,nan,807.9086199,792.6024934,583.5,130307.8419,127839.1118,94112.90323,14190107,2288726935,188.149959,high,neg
8,8,2189.295082,842.2870242,23,453.184082,174.353414,9.2,154.213551,9,8,5,1,4,11,3,14,18,15,7,2,5693.523965,2955.543906,5496,inf,inf,inf,81963971,nan,903.1840094,1407.629211,633,145674.8402,227036.9695,102096.7742,13002237,2097135000,154.213551,high,neg
9,9,2144.342384,849.8470199,23,443.8788735,175.9183331,9.2,64.70199,8,4,6,19,3,5,2,12,13,14,3,2,1852.515894,1710.030705,1102.5,inf,inf,inf,11189196,nan,2217.473179,1932.850684,1818.5,357656.9643,311750.1103,293306.4516,13393538,2160248065,64.70199,low,pos
10,10,2104.942515,822.3041916,23,435.7231006,170.2169677,9.2,71.55783,6,3,7,4,1,2,2,9,3,8,4,2,1174.858533,1229.33703,792,inf,inf,inf,7848055,nan,562.5505988,921.0018028,396,90733.96755,148548.6779,63870.96774,3757838,606102903.2,71.55783,low,neg
11,11,2083.934771,762.8876302,23,431.3744975,157.9177394,9.2,234.512577,10,15,6,5,6,14,3,13,19,29,3,2,6610.434725,3090.445111,6388,inf,inf,inf,144715637,inf,870.4934223,1074.331337,674,140402.1649,173279.2479,108709.6774,19056842,3073684194,234.512577,high,neg
12,12,2143.91254,731.4265176,23,443.7898958,151.4052891,9.2,107.293896,8,3,8,14,0,9,5,12,11,5,8,2,2487.833966,1914.291934,1910,inf,inf,inf,24918145,nan,756.8549321,2699.743519,339,122073.3761,435442.5031,54677.41935,7580659,1222686935,107.293896,high,neg
13,13,2093.916667,723.6666667,23,433.44075,149.799,9.2,0.514188,0,0,0,0,0,0,0,0,0,0,0,2,3080.833333,1060.084889,2846.5,inf,inf,inf,147880,inf,271.5,329.3735848,181,43790.32258,53124.77173,29193.54839,13032,2101935.484,0.514188,neg,neg
14,14,2074.625,721.4166667,23,429.447375,149.33325,9.2,1.028376,0,0,1,8,5,0,0,0,0,0,0,2,2536.145833,1862.318185,2108,inf,inf,inf,243470,inf,631.5729167,437.4288929,562.5,101866.5995,70553.04724,90725.80645,60631,9779193.548,1.028376,neg,neg
